run,ttc_s,energy_wh
2,868.01,452.31
3,851.01,451.55
6,851.01,451.55
7,908.01,460.44
10,908.01,460.44
5,868.01,452.23
8,868.01,452.23
1,868.01,452.23
9,908.01,460.44
4,908.01,460.44
17,851.01,451.55
15,851.01,451.55
16,851.01,451.55
19,868.01,452.31
20,868.01,452.23
18,868.01,452.23
13,908.01,460.44
11,868.01,452.03
14,908.01,460.44
12,868.01,452.23
24,851.01,451.55
26,868.01,452.23
22,868.01,452.03
30,908.01,460.44
25,908.01,460.44
23,908.01,460.44
28,908.01,460.44
21,908.01,460.44
29,868.01,452.03
27,868.01,452.03
38,868.01,451.34
35,868.01,452.31
36,851.01,451.55
40,868.01,452.23
33,868.01,452.03
31,868.01,452.03
39,908.01,460.44
34,908.01,460.44
37,868.01,452.03
32,868.01,452.23
43,868.01,452.31
46,868.01,452.31
41,851.01,451.55
47,868.01,451.34
42,868.01,451.34
48,908.01,460.44
49,908.01,460.44
44,908.01,460.44
45,868.01,452.23
50,868.01,452.23
